agency,sido,sigungu,spot_name,lat,lon,total,violent,theft,sexual,fraud,traffic,night,other
서울특별시경찰청,서울특별시,마포구,마포동,37.5371140702001,126.943825451904,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울특별시,마포구,망원동,37.5567856576915,126.901347294861,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울특별시,마포구,상수동,37.5456269289384,126.924776753718,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울특별시,마포구,상암동,37.5783209050878,126.894689433213,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울특별시,마포구,서교동,37.5551093133848,126.91459072348,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울특별시,마포구,성산동,37.5628827605388,126.909284812172,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울특별시,마포구,신공덕동,37.5437143887632,126.95556152591,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울특별시,마포구,신수동,37.5470206619263,126.935226865858,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울특별시,마포구,신정동,37.5431615999641,126.930332866478,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울특별시,마포구,아현동,37.5544832516732,126.955903701632,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울특별시,마포구,연남동,37.5644776141887,126.922023205508,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울특별시,마포구,염리동,37.5470619620455,126.94565571696,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울특별시,마포구,용강동,37.5422744939978,126.942776042667,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울특별시,마포구,중동,37.5716627632573,126.9055839139,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울특별시,마포구,창전동,37.5492736432042,126.92977041133,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울특별시,마포구,토정동,37.5388960581726,126.939782456982,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울특별시,마포구,하중동,37.5435745257491,126.927779696718,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울특별시,마포구,합정동,37.5516618139959,126.911756414276,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울특별시,마포구,현석동,37.5421619566647,126.934289634391,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울특별시,서대문구,남가좌동,37.5755473825403,126.919548350676,7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울특별시,서대문구,냉천동,37.5667821636121,126.961963463309,7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울특별시,서대문구,대신동,37.5640649698096,126.944330406191,7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울특별시,서대문구,대현동,37.5607686463542,126.947212193537,7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울특별시,서대문구,미근동,37.5632950923108,126.967253249905,7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울특별시,서대문구,봉원동,37.5725932042941,126.946963866133,7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울특별시,서대문구,북가좌동,37.5780815956199,126.91039845202,7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울특별시,서대문구,북아현동,37.5595652449812,126.956901214305,7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울특별시,서대문구,신촌동,37.5651616940519,126.93927687604,7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울특별시,서대문구,연희동,37.573910010416,126.935230751932,7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울특별시,서대문구,영천동,37.5703879302213,126.956682170377,7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울특별시,서대문구,옥천동,37.5695598078732,126.95890126611,7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울특별시,서대문구,창천동,37.5586862112856,126.934193637741,7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울특별시,서대문구,천연동,37.5675017663096,126.958422464555,7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울특별시,서대문구,충정로2가,37.564851103114,126.964119536636,7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울특별시,서대문구,충정로3가,37.5620789699491,126.961983963838,7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울특별시,서대문구,합동,37.5615287939471,126.966031651429,7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울특별시,서대문구,현저동,37.5737854968818,126.95407204926,7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울특별시,서대문구,홍은동,37.5908908122789,126.933218715152,7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울특별시,서대문구,홍제동,37.5858458009441,126.948725215733,7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울특별시,서초구,내곡동,37.4582463131039,127.076916934729,17238,1835,1587,557,5838,1787,240,5394
