agency,sido,sigungu,lat,lon,total,violent,theft,sexual,fraud,traffic,night,other
대구광역시경찰청,대구광역시,군위군,36.2429130850542,128.572814786608,542,79,93,7,109,143,2,109
대구광역시경찰청,대구광역시,남구,35.8460409913891,128.597678619113,5113,773,682,121,1557,692,57,1231
대구광역시경찰청,대구광역시,달서구,35.8298871998368,128.532774031817,15127,2194,1965,365,4550,2335,216,3502
대구광역시경찰청,대구광역시,달성군,35.7744738663997,128.431220139822,5761,789,912,122,1444,1128,49,1317
대구광역시경찰청,대구광역시,동구,35.8866236166113,128.635524099685,10336,1671,1244,238,3102,1332,110,2639
대구광역시경찰청,대구광역시,북구,35.8856706679539,128.582904911877,10815,1581,1553,242,3334,1628,110,2367
대구광역시경찰청,대구광역시,서구,35.871667578513,128.559154246787,5954,982,1025,117,1594,797,49,1390
대구광역시경찰청,대구광역시,수성구,35.8581745018633,128.630635463648,10735,1431,990,262,3917,1534,112,2489
대구광역시경찰청,대구광역시,중구,35.8693892533552,128.606220516052,6358,1000,1188,286,1504,813,70,1497
대전광역시경찰청,대전광역시,대덕구,36.3467051322814,127.415561890628,5141,818,546,126,1462,842,24,1323
대전광역시경찰청,대전광역시,동구,36.3117768357133,127.454807132217,7869,1274,1023,201,2635,879,50,1807
대전광역시경찰청,대전광역시,서구,36.3554987200544,127.383789715873,15910,2541,1873,466,5338,2017,158,3517
대전광역시경찰청,대전광역시,유성구,36.3622851114392,127.356257593324,9639,1236,1064,255,3221,1547,50,2266
대전광역시경찰청,대전광역시,중구,36.3257812272141,127.421339922096,8582,1548,1172,216,2981,913,46,1706
부산광역시경찰청,부산광역시,강서구,35.2121979518668,128.980570557383,5172,632,446,96,1640,847,44,1467
부산광역시경찰청,부산광역시,금정구,35.2427770500592,129.092104076105,6289,863,878,181,1981,627,89,1670
부산광역시경찰청,부산광역시,기장군,35.2444181044945,129.222422056732,5392,664,448,117,1732,828,59,1544
부산광역시경찰청,부산광역시,남구,35.1365297909396,129.084242837166,8674,1044,862,306,3193,681,79,2509
부산광역시경찰청,부산광역시,동구,35.129266800067,129.045305770374,4359,737,567,94,1333,483,72,1073
부산광역시경찰청,부산광역시,동래구,35.1963015621029,129.093857800257,7797,1118,1264,164,2425,721,142,1963
부산광역시경찰청,부산광역시,부산진구,35.1628554465167,129.053165443787,17497,2871,2678,506,5286,1537,284,4335
부산광역시경찰청,부산광역시,북구,35.197295941285,128.990036594502,7322,906,1137,119,2730,598,95,1737
부산광역시경찰청,부산광역시,사상구,35.1525491845594,128.991456532626,7011,1081,797,142,2403,913,114,1561
부산광역시경찰청,부산광역시,사하구,35.1044479031499,128.974932970702,7787,1229,952,179,2498,770,121,2038
부산광역시경찰청,부산광역시,서구,35.0979235209887,129.024298440459,3642,477,662,58,1179,358,37,871
부산광역시경찰청,부산광역시,수영구,35.1455382251689,129.113133962139,5598,1019,795,166,1253,776,53,1536
부산광역시경찰청,부산광역시,연제구,35.176211194352,129.079745921308,7585,1091,833,237,2309,620,270,2225
부산광역시경찰청,부산광역시,영도구,35.0912398945905,129.067888802321,2871,491,443,52,812,288,31,754
부산광역시경찰청,부산광역시,중구,35.1062269835896,129.032373132261,3517,650,574,74,1036,307,22,854
부산광역시경찰청,부산광역시,해운대구,35.1630666685425,129.16359608401,11861,1409,1674,278,3823,1180,139,3358
서울특별시경찰청,서울특별시,강남구,37.5173319258532,127.047377408384,31705,3377,2094,1026,12388,2991,943,8886
서울특별시경찰청,서울특별시,강동구,37.5301933196159,127.123792501252,11267,1531,1662,321,3351,1028,103,3271
서울특별시경찰청,서울특별시,강북구,37.6397513275882,127.025538071854,8620,1179,968,253,2724,747,90,2659
서울특별시경찰청,서울특별시,강서구,37.5509646154244,126.849533759514,15073,2072,1671,527,4926,1374,208,4295
서울특별시경찰청,서울특별시,관악구,37.4783683761333,126.951561853868,16539,2185,1967,633,5659,1125,213,4757
서울특별시경찰청,서울특별시,광진구,37.5385583136667,127.082385189457,9803,1318,1321,406,2866,899,124,2869
서울특별시경찰청,서울특별시,구로구,37.4954330863648,126.88750531451,11726,1628,1572,341,3802,900,145,3338
서울특별시경찰청,서울특별시,금천구,37.4568411485785,126.895456780023,8965,1006,887,227,3482,817,81,2465
서울특별시경찰청,서울특별시,노원구,37.6543617567057,127.056430475216,10005,1453,1506,318,2756,918,102,2952
서울특별시경찰청,서울특별시,도봉구,37.6686914100284,127.04721049936,6356,870,800,156,2077,461,52,1940
서울특별시경찰청,서울특별시,동대문구,37.5745229817122,127.039657001091,10817,1481,1618,250,3327,1265,127,2749
서울특별시경찰청,서울특별시,동작구,37.5124820423519,126.93931505634,9014,1196,1091,311,2951,828,277,2360
서울특별시경찰청,서울특별시,마포구,37.5662141900954,126.901955141101,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울특별시,서대문구,37.579161863979,126.9368156604,7453,905,1012,261,2504,631,72,2068
서울특별시경찰청,서울특별시,서초구,37.4835888228545,127.032689317952,17238,1835,1587,557,5838,1787,240,5394
