agency,station,unit_name,unit_label,kind,address,sido,sigungu,lat,lon,catchment,total,violent,theft,sexual,fraud,traffic,night,other
서울특별시경찰청,서울혜화,혜화,혜화파출소,파출소,서울특별시 종로구 창경궁로 279,서울특별시,종로구,37.5868624440018,127.00060686405,"동숭동, 명륜2가, 명륜4가, 혜화동",10015,1375,1180,337,3242,715,78,3088
서울특별시경찰청,서울혜화,대학로,대학로파출소,파출소,서울특별시 종로구 이화장2길 33,서울특별시,종로구,37.5735042429813,126.978989954189,,10015,1375,1180,337,3242,715,78,3088
서울특별시경찰청,서울혜화,명륜,명륜파출소,파출소,서울특별시 종로구 성균관로 78,서울특별시,종로구,37.589107692137,126.997468304522,"명륜1가, 명륜3가",10015,1375,1180,337,3242,715,78,3088
서울특별시경찰청,서울혜화,창신,창신파출소,파출소,서울특별시 종로구 지봉로13길 20-12,서울특별시,종로구,37.5752245135613,127.012828195947,"숭인동, 창신동",10015,1375,1180,337,3242,715,78,3088
서울특별시경찰청,서울혜화,동묘,동묘파출소,파출소,서울특별시 종로구 종로58가길 19 동묘파출소,서울특별시,종로구,37.5735042429813,126.978989954189,,10015,1375,1180,337,3242,715,78,3088
서울특별시경찰청,서울혜화,종로5가,종로5가파출소,파출소,서울특별시 종로구 동호로 407,서울특별시,종로구,37.5706048556462,127.003527196401,"예지동, 종로4가, 종로5가, 종로6가",10015,1375,1180,337,3242,715,78,3088
서울특별시경찰청,서울혜화,효제,효제파출소,파출소,서울특별시 종로구 종로41나길 24-6,서울특별시,종로구,37.5725942661178,127.003056381131,"연건동, 연지동, 원남동, 이화동, 인의동, 충신동, 효제동",10015,1375,1180,337,3242,715,78,3088
서울특별시경찰청,서울용산,원효,원효지구대,지구대,서울특별시 용산구 백범로 329,서울특별시,용산구,37.539613202648,126.967064466585,"갈월동, 남영동, 도원동, 동자동, 문배동, 산천동, 서계동, 신계동",10736,1961,1072,390,2802,978,201,3332
서울특별시경찰청,서울용산,용중,용중지구대,지구대,"서울특별시 용산구 후암로16나길 17, 용중지구대",서울특별시,용산구,37.5324310391314,126.990582345331,용산동4가,10736,1961,1072,390,2802,978,201,3332
서울특별시경찰청,서울용산,이태원,이태원파출소,파출소,서울특별시 용산구 이태원로 184,서울특별시,용산구,37.5402662116136,126.991527297365,"용산동2가, 이태원동",10736,1961,1072,390,2802,978,201,3332
서울특별시경찰청,서울용산,한남,한남파출소,파출소,"서울특별시 용산구 대사관로34길 53, 한남파출소",서울특별시,용산구,37.53462985578,127.000552132438,한남동,10736,1961,1072,390,2802,978,201,3332
서울특별시경찰청,서울용산,보광,보광파출소,파출소,"서울특별시 용산구 보광로 25-1, 보광파출소",서울특별시,용산구,37.526272167319,127.000171956489,"동빙고동, 보광동, 서빙고동, 주성동",10736,1961,1072,390,2802,978,201,3332
서울특별시경찰청,서울용산,삼각지,삼각지파출소,파출소,서울특별시 용산구 한강대로198-2,서울특별시,용산구,37.5324310391314,126.990582345331,,10736,1961,1072,390,2802,978,201,3332
서울특별시경찰청,서울용산,한강로,한강로지구대,지구대,서울특별시 용산구 서빙고로67,서울특별시,용산구,37.5339780623764,126.973054361529,"용산동1가, 용산동3가, 용산동5가, 용산동6가, 이촌동, 한강로1가, 한강로2가, 한강로3가",10736,1961,1072,390,2802,978,201,3332
서울특별시경찰청,서울성북,돈암,돈암지구대,지구대,서울특별시 성북구 아리랑로5길 54,서울특별시,성북구,37.5962791991149,127.00991034218,"돈암동, 동선동5가, 동소문동4가, 동소문동6가, 동소문동7가",9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울성북,안암,안암지구대,지구대,서울특별시 성북구 지봉로21길 45,서울특별시,성북구,37.5883885968467,127.02135842744,"동선동2가, 보문동1가, 보문동2가, 보문동4가, 보문동5가, 보문동6가, 보문동7가, 안암동1가",9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울성북,길음,길음지구대,지구대,서울특별시 성북구 삼양로13길 51 길음지구대,서울특별시,성북구,37.6076658267475,127.023343590916,길음동,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울성북,정릉,정릉파출소,파출소,서울특별시 성북구 솔샘로 111,서울특별시,성북구,37.6185808255471,126.995482832879,정릉동,9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울성북,정릉2,정릉2파출소,파출소,서울특별시 성북구 정릉로26길 6 정릉2파출소,서울특별시,성북구,37.5893588153919,127.016702905651,"동선동1가, 동선동3가, 동선동4가, 동소문동3가, 동소문동5가, 보문동3가, 삼선동2가, 삼선동3가",9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울성북,성북,성북파출소,파출소,서울특별시 성북구 성북로 94 성북파출소,서울특별시,성북구,37.591046609396,127.003274531869,"동소문동1가, 동소문동2가, 삼선동1가, 성북동, 성북동1가",9158,1157,884,271,3299,933,59,2555
서울특별시경찰청,서울동대문,용신,용신지구대,지구대,서울특별시 동대문구 청계천로549,서울특별시,동대문구,37.5745229817122,127.039657001091,"답십리동, 신설동, 용두동",10817,1481,1618,250,3327,1265,127,2749
서울특별시경찰청,서울동대문,청량리,청량리파출소,파출소,서울특별시 동대문구 약령시로21가길 15,서울특별시,동대문구,37.5862511095438,127.047289719403,"전농동, 청량리동",10817,1481,1618,250,3327,1265,127,2749
서울특별시경찰청,서울동대문,제기,제기파출소,파출소,서울특별시 동대문구 약령시로 17길 59-11,서울특별시,동대문구,37.5831154639893,127.037818414722,제기동,10817,1481,1618,250,3327,1265,127,2749
서울특별시경찰청,서울동대문,전농1,전농1파출소,파출소,서울특별시 동대문구 서울시립대로 56,서울특별시,동대문구,37.5745229817122,127.039657001091,,10817,1481,1618,250,3327,1265,127,2749
서울특별시경찰청,서울동대문,전농2,전농2파출소,파출소,서울특별시 동대문구 전농로38다길 21,서울특별시,동대문구,37.5745229817122,127.039657001091,,10817,1481,1618,250,3327,1265,127,2749
서울특별시경찰청,서울동대문,장안1,장안1파출소,파출소,서울특별시 동대문구 한천로20길 9,서울특별시,동대문구,37.5745229817122,127.039657001091,,10817,1481,1618,250,3327,1265,127,2749
서울특별시경찰청,서울동대문,장안2,장안2파출소,파출소,서울특별시 동대문구 답십리로 69길 100,서울특별시,동대문구,37.5745229817122,127.039657001091,,10817,1481,1618,250,3327,1265,127,2749
서울특별시경찰청,서울동대문,이문,이문지구대,지구대,서울특별시 동대문구 한천로 402,서울특별시,동대문구,37.6004055110663,127.066373060068,이문동,10817,1481,1618,250,3327,1265,127,2749
서울특별시경찰청,서울동대문,휘경,휘경파출소,파출소,서울특별시 동대문구 한천로 266,서울특별시,동대문구,37.5908553624268,127.065730507228,"장안동, 휘경동",10817,1481,1618,250,3327,1265,127,2749
서울특별시경찰청,서울동대문,회기,회기파출소,파출소,서울특별시 동대문구 회기로18길 2,서울특별시,동대문구,37.5907885967282,127.05537245757,회기동,10817,1481,1618,250,3327,1265,127,2749
서울특별시경찰청,서울마포,서강,서강지구대,지구대,"서울특별시 마포구 독막로22길 8(창전동, 서강지구대)",서울특별시,마포구,37.5492736432042,126.92977041133,"구수동, 노고산동, 당인동, 상수동, 신수동, 신정동, 창전동, 하중동",13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울마포,공덕,공덕지구대,지구대,서울특별시 마포구 마포대로 195-1,서울특별시,마포구,37.550174347382,126.960034513244,"공덕동, 신공덕동, 아현동",13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울마포,월드컵,월드컵지구대,지구대,서울특별시 마포구 월드컵북로 30길 24,서울특별시,마포구,37.5662141900954,126.901955141101,"성산동, 중동",13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울마포,홍익,홍익지구대,지구대,서울특별시 마포구 양화로11길 63,서울특별시,마포구,37.5662141900954,126.901955141101,,13488,1926,1469,778,3680,1402,147,4086
서울특별시경찰청,서울마포,용강,용강지구대,지구대,서울특별시 마포구 토정로31길 35,서울특별시,마포구,37.5422744939978,126.942776042667,"대흥동, 도화동, 마포동, 염리동, 용강동, 토정동, 현석동",13488,1926,1469,778,3680,1402,147,4086
