연번,시도청,경찰서,관서명,구분,주소
187,서울청,서울구로,천왕,파출소,서울특별시 구로구 오리로 1102-8
188,서울청,서울서초,반포,지구대,서울특별시 서초구 신반포로190
189,서울청,서울서초,서초2,파출소,서울 서초구 서운로 38
190,서울청,서울서초,서초3,파출소,서울 서초구 반포대로30길 40
191,서울청,서울서초,양재,파출소,서울 서초구 남부순환로356길 9
192,서울청,서울서초,서초,파출소,서울 서초구 효령로 297
193,서울청,서울서초,우면,파출소,서울 서초구 양재대로2길 106
194,서울청,서울서초,내곡,파출소,서울특별시 서초구 헌릉로 226
195,서울청,서울양천,목1,지구대,서울특별시 양천구  목동동로 373
196,서울청,서울양천,목2,지구대,서울특별시 양천구  등촌로 166
197,서울청,서울양천,신정1,지구대,서울특별시 양천구  중앙로32길 65
198,서울청,서울양천,신정2,지구대,서울특별시 양천구 목동로17길 5
199,서울청,서울양천,신월2,지구대,서울특별시 양천구 지양로 55
200,서울청,서울양천,신월1,파출소,서울특별시 양천구  남부순환로59길 8 
201,서울청,서울양천,신정3,파출소,서울특별시 양천구  중앙로 205
202,서울청,서울양천,신월5,파출소,서울특별시 양천구  남부순환로31길 37
203,서울청,서울송파,방이,지구대,서울특별시 송파구  양재대로71길 5-6
204,서울청,서울송파,잠실,지구대,서울특별시 송파구  올림픽로 101
205,서울청,서울송파,삼전,지구대,서울특별시 송파구  백제고분로 238
206,서울청,서울송파,가락,지구대,서울특별시 송파구  중대로 179
207,서울청,서울송파,문정,지구대,서울특별시 송파구 충민로2길 18
208,서울청,서울송파,마천,파출소,서울특별시 송파구  마천로 41길 8
209,서울청,서울송파,거여,파출소,서울특별시 송파구 새말로15길 9
210,서울청,서울송파,풍납,파출소,서울특별시 송파구  풍성로 42
211,서울청,서울송파,오금,파출소,서울특별시 송파구  마천로8길 17
212,서울청,서울송파,신천,파출소,서울특별시 송파구  올림픽로35길 12 
213,서울청,서울송파,위례,파출소,서울특별시 송파구 위례순환로 369
214,서울청,서울노원,당현,지구대,서울특별시 노원구  노원로17길 64번지
215,서울청,서울노원,월계,지구대,서울특별시 노원구  월계로55길 58
216,서울청,서울노원,화랑,지구대,서울특별시 노원구  동일로 1034
217,서울청,서울노원,노원역,지구대,서울특별시 노원구 노원로431
218,서울청,서울노원,불암,지구대,서울특별시 노원구  한글비석로 277
219,서울청,서울노원,마들,지구대,서울특별시 노원구  한글비석로 489 마들지구대
220,서울청,서울노원,당고개,파출소,서울특별시 노원구 수락산로2길 77
221,서울청,서울노원,상계1,파출소,서울특별시 노원구  동일로 1693
222,서울청,서울방배,남태령,지구대,서울특별시 서초구  동작대로 34
223,서울청,서울방배,서래,파출소,서울특별시 서초구  신반포로 16길 15-14
224,서울청,서울방배,이수,파출소,서울특별시 서초구  동광로19길 38
225,서울청,서울방배,방배1,파출소,서울특별시 서초구  효령로 31길 64
226,서울청,서울은평,불광,지구대,서울특별시 은평구  연서로 290
227,서울청,서울은평,연신내,지구대,서울특별시 은평구  갈현로 195
228,서울청,서울은평,진관,파출소,서울특별시 은평구  진관3로 38 진관파출소
229,서울청,서울은평,대조,파출소,서울특별시 은평구 진흥로13길3-33 (대조동)
230,서울청,서울도봉,창동,지구대,서울특별시 도봉구 노해로 392
231,서울청,서울도봉,신창,파출소,서울특별시 도봉구  도봉로104길 49-5
232,서울청,서울도봉,방학,파출소,서울특별시 도봉구  도봉로145길 45 방학파출소
233,서울청,서울도봉,신방학,파출소,서울특별시 도봉구  시루봉로5길 10
234,서울청,서울도봉,도봉1,파출소,서울특별시 도봉구 도봉로169나길 4 (도봉동)
235,서울청,서울도봉,도봉2,파출소,서울특별시 도봉구 도봉로 180나길 33
236,서울청,서울도봉,쌍문,파출소,서울특별시 도봉구  방학로3길 132
237,서울청,서울도봉,숭미,파출소,서울특별시 도봉구  노해로 139 숭미파출소
238,서울청,서울수서,도곡,지구대,서울특별시 강남구  언주로 426
239,서울청,서울수서,대치,지구대,서울특별시 강남구  삼성로 203
240,서울청,서울수서,수서,파출소,서울특별시 강남구  밤고개로1길 48
241,서울청,서울수서,대왕,파출소,서울특별시 강남구  헌릉로 623
242,서울청,서울수서,일원,지구대,서울특별시 강남구  일원로3길 35
243,서울청,서울수서,개포,지구대,서울특별시 강남구  개포로 261
244,부산청,부산중부,남포,지구대,부산광역시 중구  해관로 19
245,부산청,부산중부,영주,파출소,부산광역시 중구  동영로 77
246,부산청,부산중부,부평,파출소,부산광역시 중구  보수대로44번길 27
247,부산청,부산중부,보수,파출소,부산광역시 중구  흑교로 77
248,부산청,부산중부,대청,파출소,부산광역시 중구  중구로 103-1
249,부산청,부산동래,내성,지구대,부산광역시 동래구  동래로 109
250,부산청,부산동래,충렬,지구대,부산광역시 동래구  반송로 207
